file,mylabel
2025-05_hsbtMarseille_or-r2_BaudryThierry_i167_b0.png,2
2025-05_hsbtMarseille_main-r1_PavicevicNina_i40_b1.png,0
2025-05_hsbtMarseille_or-r3_GalleGuillaume_i94_b0.png,3
2025-05_hsbtMarseille_or-r3_GalleGuillaume_i122_b1.png,0
2025-05_hsbtMarseille_main-r1_PavicevicNina_i172_b1.png,5
2025-11_hsbtParis_r3_FredericPicot_i151_b0.png,0
2025-10_cdfAngers_r1_EricBenichou_i42_b0.png,0
2025-10_vbc_r1_JamesMcNaughtan_i195_b0.png,0
2026-05_hsbtMarseille_main-r5_TristanRemille_i17_b0.png,0
2025-05_hsbtMarseille_or-r1_HanotinDenis_i133_b0.png,0
2025-10_cdfAngers_r1_EricBenichou_i24_b0.png,6
2025-11_hsbtParis_r1_PhilippeLevasseur_i8_b0.png,0
2025-05_hsbtMarseille_main-r2_MauduitEric_i18_b1.png,0
2026-05_hsbtMarseille_main-r4_MichelHileyan_i28_b0.png,0
2025-11_hsbtParis_r3_MarieAnneJeannel_i62_b1.png,4
2026-05_hsbtMarseille_main-r5_TristanRemille_i71_b0.png,0
2025-11_hsbtParis_r3_MarieAnneJeannel_i3_b0.png,3
2025-11_hsbtParis_r3_FredericPicot_i210_b0.png,6
2025-11_hsbtParis_r1_PhilippeLevasseur_i91_b0.png,6
2025-11_hsbtParis_r5_NicolasPaoli_i61_b1.png,0
hsbtMars2025-main-r1_i38_b0.png,0
2025-05_hsbtMarseille_or-r3_GalleGuillaume_i169_b1.png,3
2025-11_hsbtParis_r2_StephaneCheneviere_i107_b0.png,6
2025-11_hsbtParis_r3_FredericPicot_i210_b1.png,0
2025-05_hsbtMarseille_or-r3_GalleGuillaume_i88_b0.png,0
2025-05_hsbtMarseille_main-r1_PavicevicNina_i183_b0.png,2
2025-11_hsbtParis_r1_PhilippeLevasseur_i78_b1.png,0
hsbtMars2025-main-r1_i20_b0.png,0
2026-05_hsbtMarseille_main-r5_TristanRemille_i42_b0.png,0
2025-05_hsbtMarseille_main-r2_MauduitEric_i63_b1.png,0
2025-05_hsbtMarseille_main-r1_PavicevicNina_i123_b0.png,0
2026-05_hsbtMarseille_main-r4_MichelHileyan_i109_b1.png,0
2025-11_hsbtParis_r2_StephaneCheneviere_i29_b0.png,0
2025-05_hsbtMarseille_main-r1_PavicevicNina_i279_b0.png,3
2025-11_hsbtParis_r2_StephaneCheneviere_i216_b0.png,0
2025-11_hsbtParis_r1_PhilippeLevasseur_i215_b0.png,4
2025-11_hsbtParis_r2_StephaneCheneviere_i147_b1.png,2
2025-05_hsbtMarseille_or-r2_BaudryThierry_i50_b0.png,0
2025-11_hsbtParis_r4_NicolasJully_i150_b1.png,0
2025-10_vbc_r1_JamesMcNaughtan_i169_b0.png,0
2025-05_hsbtMarseille_or-r2_BaudryThierry_i168_b0.png,5
2025-05_hsbtMarseille_or-r3_GalleGuillaume_i101_b0.png,4
2025-05_hsbtMarseille_or-r3_GalleGuillaume_i148_b1.png,5
2025-05_hsbtMarseille_main-r2_MauduitEric_i163_b0.png,0
2026-05_hsbtMarseille_main-r5_TristanRemille_i2_b1.png,2
2026-05_hsbtMarseille_main-r4_MichelHileyan_i107_b0.png,0
2025-05_hsbtMarseille_main-r2_MauduitEric_i137_b0.png,0
2025-05_hsbtMarseille_or-r1_HanotinDenis_i6_b1.png,0
2025-05_hsbtMarseille_or-r2_BaudryThierry_i157_b1.png,0
2025-11_hsbtParis_r5_NicolasPaoli_i111_b1.png,0
2025-11_hsbtParis_r4_NicolasJully_i229_b1.png,0
